week,vteam,hteam,vscore,hscore,fspread,fscore,temp,wind_mph,vdflg,hdflg,divgame,nsite,vospread,hospread,ouopen,vcspread,hcspread,ouclose,vTOTAL.DVOA,vTOTAL.RNK,vOFF.RNK,vOFF.DVOA,vDEF.RNK,vDEF.DVOA,vST.RNK,vST.DVOA,hTOTAL.DVOA,hTOTAL.RNK,hOFF.RNK,hOFF.DVOA,hDEF.RNK,hDEF.DVOA,hST.RNK,hST.DVOA,vtsw,vtsl,vtst,htsw,htsl,htst,vtw,vtl,vtt,vts,htw,htl,htt,hts,sWinner,winner,ou
1,HOU,KC,20,34,-14,54,58,6,-1,-1,0,0,9.5,-9.5,54,9.5,-9.5,53.5,-1.7,19,20,0,25,3,5,1.2,20.3,2,1,18.3,16,-0.1,2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,MIA,NE,11,21,-10,32,73,6,-1,-1,1,0,7,-7,43,7,-7,41.5,-14.9,31,30,-8.9,29,5.2,24,-0.8,-0.8,17,14,1.5,27,3.9,3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1
1,CLE,BAL,6,38,-32,44,75,5,-1,-1,1,0,8.5,-8.5,48.5,7,-7,47.5,-4.8,24,19,0,28,4.3,17,-0.5,13.7,3,5,8.5,9,-2.3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1
1,NYJ,BUF,17,27,-10,44,65,12,-1,-1,1,0,6,-6,39.5,6.5,-6.5,39,-12.4,28,31,-13.4,17,0,7,1,-2.1,20,27,-8.2,1,-6.6,16,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,LV,CAR,34,30,4,64,79,3,-1,-1,0,0,-1.5,1.5,47,-3,3,48,-4.5,23,21,-2.9,21,0.6,27,-1,-14.3,29,22,-3.1,32,10,28,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
1,SEA,ATL,38,25,13,63,72,0,-1,-1,0,0,1,-1,49.5,-1,1,49.5,7.7,6,4,8.5,18,0,25,-0.8,5.1,11,8,5.1,14,-0.6,19,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
1,PHI,WAS,17,27,-10,44,76,4,-1,-1,1,0,-6.5,6.5,44,-5.5,5.5,41.5,5.1,10,15,1.3,4,-4.4,18,-0.6,-19.1,32,32,-18.9,23,1,10,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,CHI,DET,27,23,4,50,72,0,-1,-1,1,0,1,-1,43.5,2.5,-2.5,42.5,-3.1,22,25,-7.1,7,-3.6,13,0.4,1.1,14,16,1,19,0.3,12,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
1,IND,JAX,20,27,-7,47,86,8,-1,-1,1,0,-6.5,6.5,44.5,-7,7,44,6.7,7,9,4.9,12,-1.2,11,0.5,-10.5,27,28,-8.6,26,3.1,6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,GB,MIN,43,34,9,77,72,0,-1,-1,1,0,3,-3,46,1.5,-1.5,44.5,-0.3,16,7,5.7,30,5.3,23,-0.7,-1,18,18,0.2,20,0.6,21,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
